nom_complet,specialisation,code_specialisation
OLHAGARAYPhilippe,Droit bancaire et boursier,53
SICETAurore,Droit bancaire et boursier,53
TRASSARDPatrick,Droit commercial,4218
BOERNERJean-David,"Droit commercial, des affaires et de la concurrence",54
BOURUOlivier,"Droit commercial, des affaires et de la concurrence",54
CHAUVEValérie,"Droit commercial, des affaires et de la concurrence",54
DUFRANCMichel,"Droit commercial, des affaires et de la concurrence",54
HONTASPhilippe,"Droit commercial, des affaires et de la concurrence",54
LASSERREDaniel,"Droit commercial, des affaires et de la concurrence",54
LIEFPhilippe,"Droit commercial, des affaires et de la concurrence",54
MAYSOUNABEPascale,"Droit commercial, des affaires et de la concurrence",54
MIRIEU-DE-LABARREThierry,"Droit commercial, des affaires et de la concurrence",54
NICOLASOlivier,"Droit commercial, des affaires et de la concurrence",54
OLHAGARAYPhilippe,"Droit commercial, des affaires et de la concurrence",54
QUESNELBernard,"Droit commercial, des affaires et de la concurrence",54
SOLPhilippe,"Droit commercial, des affaires et de la concurrence",54
TRASSARDPatrick,"Droit commercial, des affaires et de la concurrence",54
DANGUYAstrid,Droit de l'environnement,57
DESCUBESLaura,Droit de l'environnement,57
PUELChristophe,Droit de l'environnement,57
RUFFIÉJean-Philippe,Droit de l'environnement,57
ALLAINAnnick,"Droit de la famille, des personnes, et de leur patrimoine",59
BOSTMarie-Laure,"Droit de la famille, des personnes, et de leur patrimoine",59
BRAUNMaryannick,"Droit de la famille, des personnes, et de leur patrimoine",59
BRISCaroline,"Droit de la famille, des personnes, et de leur patrimoine",59
CLERETAmandine,"Droit de la famille, des personnes, et de leur patrimoine",59
COMPAIN-LECROISEYKristell,"Droit de la famille, des personnes, et de leur patrimoine",59
CUISINIERPierre,"Droit de la famille, des personnes, et de leur patrimoine",59
DABISMarie-Claire,"Droit de la famille, des personnes, et de leur patrimoine",59
DAHANJean-Jacques,"Droit de la famille, des personnes, et de leur patrimoine",59
DIROUJérôme,"Droit de la famille, des personnes, et de leur patrimoine",59
FERROMarie-Valérie,"Droit de la famille, des personnes, et de leur patrimoine",59
LAVAUDMarion,"Droit de la famille, des personnes, et de leur patrimoine",59
LEMBEZAT-REALValérie,"Droit de la famille, des personnes, et de leur patrimoine",59
